index,zipCode,PovertyEst,avgAnnCount,avgDeathsPerYear,deathRate,incidenceRate,medIncome,popEst2015,povertyPercent,studyCount,studyPerCap,binnedInc
58,1094,90611,4132.0,1539,171.5,470.3,65217,818963,11.5,0,0.0,"(61494.5, 125635]"
59,1095,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"[22640, 34218.1]"
60,1096,20809,715.0,291,164.4,415.4,57737,161292,15.0,0,0.0,"(37413.8, 40362.7]"
61,1097,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(34218.1, 37413.8]"
62,1098,20809,715.0,291,164.4,415.4,57737,161292,15.0,0,0.0,"(45201, 48021.6]"
63,1103,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(34218.1, 37413.8]"
64,1104,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(40362.7, 42724.4]"
65,1105,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"[22640, 34218.1]"
66,1106,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(34218.1, 37413.8]"
67,1107,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,6,12.74724341,"(61494.5, 125635]"
68,1108,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(61494.5, 125635]"
69,1109,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(45201, 48021.6]"
70,1118,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(51046.4, 54545.6]"
71,1119,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(61494.5, 125635]"
72,1128,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(61494.5, 125635]"
73,1129,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(61494.5, 125635]"
74,1151,80178,2371.0,1004,180.0,442.9,49072,470690,17.7,0,0.0,"(61494.5, 125635]"
75,1201,16037,860.0,313,157.0,464.3,49890,127828,13.0,8,62.58409738,"(54545.6, 61494.5]"
76,1220,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(61494.5, 125635]"
77,1222,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(61494.5, 125635]"
78,1223,16037,860.0,313,157.0,464.3,49890,127828,13.0,2,15.64602435,"(45201, 48021.6]"
79,1224,16037,860.0,313,157.0,464.3,49890,127828,13.0,2,15.64602435,"(61494.5, 125635]"
80,1225,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(61494.5, 125635]"
81,1226,16037,860.0,313,157.0,464.3,49890,127828,13.0,0,0.0,"(61494.5, 125635]"
